Name,Matlab Time(in s),Avg Matlab Time,VS Time(in s),Avg VS Time,Total Time(in s),Avg Total Time
,,,,,,
,,,,,,
Aaron_Peirsol_,40.913,47.1815,5.633,4.66537,46.546,51.8468
Aaron_Sorkin_,35.5924,47.1815,4.628,4.66537,40.2204,51.8468
Abdel_Nasser_Assidi_,41.7872,47.1815,4.592,4.66537,46.3792,51.8468
Abdoulaye_Wade_,42.2531,47.1815,4.827,4.66537,47.0801,51.8468
Abdullah_,213.891,47.1815,4.369,4.66537,218.26,51.8468
Abdullah_Gul_,48.2596,47.1815,4.85,4.66537,53.1096,51.8468
Abdullah_al-Attiyah_,56.3314,47.1815,4.894,4.66537,61.2254,51.8468
Abdullatif_Sener_,57.647,47.1815,4.523,4.66537,62.17,51.8468
Abel_Pacheco_,53.1327,47.1815,4.628,4.66537,57.7607,51.8468
Abid_Hamid_Mahmud_Al-Tikriti_,44.4249,47.1815,4.757,4.66537,49.1819,51.8468
Adam_Sandler_,48.6153,47.1815,4.558,4.66537,53.1733,51.8468
Adam_Scott_,61.037,47.1815,4.614,4.66537,65.651,51.8468
Adel_Al-Jubeir_,46.7692,47.1815,4.9,4.66537,51.6692,51.8468
Adolfo_Aguilar_Zinser_,40.9116,47.1815,4.524,4.66537,45.4356,51.8468
Adolfo_Rodriguez_Saa_,46.1927,47.1815,4.832,4.66537,51.0247,51.8468
Adrian_McPherson_,42.4321,47.1815,5.05,4.66537,47.4821,51.8468
Adrian_Nastase_,42.5646,47.1815,5.178,4.66537,47.7426,51.8468
Adrien_Brody_,52.1248,47.1815,4.387,4.66537,56.5118,51.8468
Ahmad_Masood_,52.6,47.1815,4.605,4.66537,57.205,51.8468
Ahmed_Chalabi_,42.1958,47.1815,4.668,4.66537,46.8638,51.8468
Ahmet_Necdet_Sezer_,56.5304,47.1815,4.612,4.66537,61.1424,51.8468
Ai_Sugiyama_,41.7997,47.1815,5.49,4.66537,47.2897,51.8468
Aicha_El_Ouafi_,37.8013,47.1815,4.666,4.66537,42.4673,51.8468
Aitor_Gonzalez_,42.7957,47.1815,5.756,4.66537,48.5517,51.8468
Akbar_Hashemi_Rafsanjani_,45.9648,47.1815,4.459,4.66537,50.4238,51.8468
Akhmed_Zakayev_,37.3566,47.1815,4.813,4.66537,42.1696,51.8468
Al_Davis_,36.8109,47.1815,4.847,4.66537,41.6579,51.8468
Al_Gore_,36.3747,47.1815,4.61,4.66537,40.9847,51.8468
Al_Pacino_,42.457,47.1815,4.544,4.66537,47.001,51.8468
Al_Sharpton_,42.5518,47.1815,5.276,4.66537,47.8278,51.8468
Alan_Ball_,39.2272,47.1815,5.17,4.66537,44.3972,51.8468
Alan_Greenspan_,45.7451,47.1815,4.553,4.66537,50.2981,51.8468
Alan_Mulally_,40.5539,47.1815,4.481,4.66537,45.0349,51.8468
Alastair_Campbell_,39.526,47.1815,5.051,4.66537,44.577,51.8468
Albert_Costa_,41.775,47.1815,4.978,4.66537,46.753,51.8468
Alberto_Fujimori_,46.9016,47.1815,4.73,4.66537,51.6316,51.8468
Alberto_Ruiz_Gallardon_,47.1439,47.1815,4.626,4.66537,51.7699,51.8468
